file_path,class_id,class_name
./cv-valid-train/wav/sample-000005.wav,0,us
./cv-valid-train/wav/sample-000014.wav,2,england
./cv-valid-train/wav/sample-000020.wav,2,england
./cv-valid-train/wav/sample-000029.wav,1,indian
./cv-valid-train/wav/sample-000044.wav,2,england
./cv-valid-train/wav/sample-000047.wav,0,us
./cv-valid-train/wav/sample-000051.wav,0,us
./cv-valid-train/wav/sample-000053.wav,2,england
./cv-valid-train/wav/sample-000054.wav,2,england
./cv-valid-train/wav/sample-000056.wav,2,england
./cv-valid-train/wav/sample-000065.wav,0,us
./cv-valid-train/wav/sample-000068.wav,1,indian
./cv-valid-train/wav/sample-000073.wav,0,us
./cv-valid-train/wav/sample-000077.wav,0,us
./cv-valid-train/wav/sample-000081.wav,0,us
./cv-valid-train/wav/sample-000092.wav,1,indian
./cv-valid-train/wav/sample-000100.wav,2,england
./cv-valid-train/wav/sample-000121.wav,2,england
./cv-valid-train/wav/sample-000155.wav,2,england
./cv-valid-train/wav/sample-000167.wav,1,indian
./cv-valid-train/wav/sample-000168.wav,0,us
./cv-valid-train/wav/sample-000169.wav,2,england
./cv-valid-train/wav/sample-000175.wav,2,england
./cv-valid-train/wav/sample-000184.wav,0,us
./cv-valid-train/wav/sample-000191.wav,2,england
./cv-valid-train/wav/sample-000192.wav,2,england
./cv-valid-train/wav/sample-000194.wav,0,us
./cv-valid-train/wav/sample-000195.wav,0,us
./cv-valid-train/wav/sample-000197.wav,0,us
./cv-valid-train/wav/sample-000205.wav,2,england
./cv-valid-train/wav/sample-000213.wav,2,england
./cv-valid-train/wav/sample-000214.wav,1,indian
./cv-valid-train/wav/sample-000216.wav,2,england
./cv-valid-train/wav/sample-000217.wav,0,us
./cv-valid-train/wav/sample-000225.wav,0,us
./cv-valid-train/wav/sample-000229.wav,0,us
./cv-valid-train/wav/sample-000238.wav,0,us
./cv-valid-train/wav/sample-000242.wav,1,indian
./cv-valid-train/wav/sample-000243.wav,0,us
./cv-valid-train/wav/sample-000246.wav,2,england
./cv-valid-train/wav/sample-000265.wav,2,england
./cv-valid-train/wav/sample-000270.wav,2,england
./cv-valid-train/wav/sample-000283.wav,0,us
./cv-valid-train/wav/sample-000285.wav,1,indian
./cv-valid-train/wav/sample-000286.wav,2,england
./cv-valid-train/wav/sample-000290.wav,0,us
./cv-valid-train/wav/sample-000293.wav,2,england
./cv-valid-train/wav/sample-000294.wav,2,england
